Rank 26,Company,Location,Turnover £m,Pre-tax Profit £m,Year End
388,AXIS-SHIELD DIAGNOSTICS LIMITED,Dundee,  28.5,  4.1,Dec 24
389,DAVID SMITH CONTRACTORS LTD.,Fraserburgh,  23.0,  6.2,Apr 24
390,WM HAMILTON & SONS LIMITED,Larkhall,  21.7,  7.4,Mar 25
391,SPEYSIDE COOPERAGE LIMITED,Aberlour,  45.2,  2.1,Apr 25
392,SALTIRE FACILITIES MANAGEMENT LIMITED,Bellshill,  31.4,  3.4,Mar 25
393,"TOMATIN DISTILLERY COMPANY LIMITED,(THE)",Inverness,  23.7,  5.7,Dec 24
394,INGRAM MOTORING GROUP LIMITED,Kilmarnock,  52.0,  1.8,Dec 24
395,BEER52 LIMITED,Edinburgh,  33.8,  3.0,Jun 24
396,MCINROY & WOOD LIMITED,Haddington,  20.0,  9.3,Apr 25
397,FIFE CREAMERY LIMITED,Kirkcaldy,  46.5,  2.0,Sep 25
398,UNITED AUCTIONS GROUP LIMITED,Stirling,  27.5,  4.2,Dec 24
399,CALEDONIAN PLYWOOD COMPANY LTD.,Glasgow,  56.2,  1.6,May 25
400,INOAPPS LIMITED,Aberdeen,  48.5,  1.9,Jul 24
401,ABBOTSFORD CARE (GLENROTHES) LIMITED,Kirkcaldy,  18.4,  12.3,Mar 25
402,MISSILES & SPACE BATTERIES LIMITED,Coatbridge,  23.1,  5.6,Dec 24
403,RENAISSANCE CARE (SCOTLAND) LIMITED,Musselburgh,  45.8,  2.0,Nov 24
404,GLEN MORAY DISTILLERY LIMITED,Bathgate,  26.3,  4.4,Dec 24
405,BEEKS FINANCIAL CLOUD LIMITED,Renfrew,  35.9,  2.6,Jun 25
406,BTO SOLICITORS LLP,Glasgow,  21.2,  7.1,Mar 25
407,C.J. LANG & SON LIMITED,Dundee,  254.5,  0.8,Apr 25
408,"CHARLES TENNANT & COMPANY, LIMITED",Glasgow,  32.8,  3.0,Dec 24
409,HYDRO GROUP LIMITED,Aberdeen,  22.3,  5.8,Dec 24
410,GRAMPIAN CONTINENTAL LIMITED,Aberdeen,  34.0,  2.7,Mar 25
411,D J ALEXANDER LETTINGS LIMITED,Edinburgh,  20.1,  7.8,Dec 24
412,BEATSONS BUILDING SUPPLIES LIMITED,Alloa,  36.9,  2.5,Dec 24
413,BAILLIE WINDFARM LIMITED,Glasgow,  18.4,  11.0,Dec 24
414,MOKATE UK LTD,Edinburgh,  37.7,  2.3,Dec 24
415,TSG UK SOLUTIONS LTD,Edinburgh,  44.5,  1.9,Apr 24
416,DICKIE & MOORE CONSTRUCTION LIMITED,Glasgow,  33.4,  2.8,Mar 25
417,AFG MEDIA LTD,Edinburgh,  40.5,  2.1,Nov 24
418,MACDUFF SHIPYARDS LIMITED,Macduff,  28.1,  3.5,Feb 25
419,VALNEVA SCOTLAND LIMITED,Edinburgh,  49.8,  1.7,Dec 24
420,PARS GROUP LTD.,Dunfermline,  20.5,  7.0,Jun 24
