Rank 26,Company,Location,Turnover £m,Pre-tax Profit £m,Year End
125,SSF SHETLAND LIMITED,Stirling,  119.5,  15.5,Dec 24
126,VETS NOW EMERGENCY LIMITED,Dunfermline,  115.0,  16.2,Sep 24
127,SHEPHERD AND WEDDERBURN LLP,Edinburgh,  78.3,  36.1,Apr 25
128,JAMES WALKER (LEITH) LIMITED,Livingston,  116.3,  14.6,Mar 25
129,JOHNSTON CARMICHAEL LLP,Aberdeen,  75.7,  38.5,May 25
130,MCQUEENS DAIRIES LTD,Glasgow,  130.0,  12.3,Jul 25
131,KETTLE PRODUCE LIMITED,Cupar,  191.3,  9.2,Jun 24
132,DAVID MACBRAYNE LIMITED,Gourock,  328.9,  6.2,Mar 25
133,GLENRATH FARMS LTD.,West Linton,  91.0,  21.4,May 24
134,HOWCO GROUP PLC,Glasgow,  152.2,  9.8,Mar 25
135,OILFAST HOLDINGS LIMITED,Motherwell,  209.6,  7.9,Jun 25
136,SCOTSMAN HOLDINGS PLC,Glasgow,  174.7,  8.7,Mar 25
137,SINOMINE SPECIALTY FLUIDS LIMITED,Aberdeen,  70.9,  49.0,Dec 24
138,CLYDEPORT OPERATIONS LIMITED,Glasgow,  72.0,  40.4,Mar 25
139,MURRAY CAPITAL HOLDINGS LIMITED,Edinburgh,  91.2,  18.1,Jun 25
140,SPECIALIST CARS (ABERDEEN) LIMITED,Aberdeen,  363.2,  5.7,Dec 24
141,FIRST SENTIER INVESTORS (UK) IM LIMITED,Edinburgh,  87.7,  18.9,Dec 24
142,FUTURE  TECHNOLOGY DEVICES INTERNATIONAL LIMITED,Glasgow,  67.3,  48.6,Dec 23
143,CALMAC FERRIES LIMITED,Gourock,  329.4,  5.7,Mar 25
144,FORSYTHS LIMITED,Aberlour,  100.7,  13.7,Oct 24
145,CAPRICORN ENERGY PLC,Edinburgh,  117.9,  11.1,Dec 24
146,PLEXUS CORP (UK) LIMITED,Kelso,  84.8,  17.8,Sep 24
147,PENTLAND MOTOR COMPANY LIMITED,Aberdeen,  277.1,  6.0,Dec 24
148,FARNE SALMON & TROUT LIMITED,Duns,  119.0,  10.0,Jun 24
149,TILLICOULTRY QUARRIES 1931 LIMITED,Alloa,  112.1,  11.0,Mar 25
150,SCORE (EUROPE) LIMITED,Peterhead,  112.2,  11.3,Jan 25
151,WRIGHT HEALTH GROUP LIMITED,Dundee,  131.7,  8.7,Dec 24
152,MEALLMORE LIMITED,Inverness,  89.1,  15.2,Mar 25
153,J.W. GALLOWAY LIMITED,Stirling,  449.5,  4.8,Feb 23
154,HIGHLAND SPRING LIMITED,Auchterarder,  148.2,  7.6,Dec 24
155,SPL POWERLINES UK LIMITED,Coatbridge,  152.0,  7.4,Dec 24
156,GATES (U.K.) LIMITED,Dumfries,  160.8,  7.2,Dec 24
157,GLEN GRANT LIMITED,Aberlour,  141.5,  7.6,Dec 24
158,BULTEN LIMITED,Edinburgh,  194.8,  6.2,Dec 24
159,GLENEAGLES HOTELS LIMITED,Auchterarder,  101.7,  10.0,Mar 25
160,PMI GLOBAL STUDIO LIMITED,Edinburgh,  141.8,  7.3,Dec 24
161,THE INSIGHTS GROUP LIMITED,Dundee,  88.9,  12.6,Mar 25
162,ASHTEAD TECHNOLOGY LIMITED,Westhill,  75.2,  17.4,Dec 24
163,CVH SPIRITS LIMITED,Glasgow,  112.8,  8.7,Jun 24
164,HYDRASUN LIMITED,Aberdeen,  102.0,  9.4,Mar 24
165,WOOD MACKENZIE LIMITED,Edinburgh,  299.2,  4.8,Dec 24
166,LOTHIAN BUSES LIMITED,Edinburgh,  197.7,  5.8,Dec 24
167,THE EDINBURGH INVESTMENT TRUST PUBLIC LIMITED COMPANY,Edinburgh,  53.7,  48.4,Mar 25
168,BROWNS MANUFACTURING LIMITED,Sanquhar,  135.6,  6.9,Dec 24
169,ASHLEIGH (SCOTLAND) LIMITED,Prestwick,  77.2,  13.3,Mar 25
170,STEWART TRAVEL LIMITED,Glasgow,  109.4,  7.5,Dec 24
171,SCOTBEEF LIMITED,Glasgow,  417.8,  4.0,Feb 23
172,KCA DEUTAG DRILLING LIMITED,Aberdeen,  115.7,  7.2,Dec 24
173,PD & MS ENERGY (ABERDEEN) LIMITED,Glasgow,  103.4,  7.6,Mar 25
174,BEAR SCOTLAND LIMITED,Perth,  199.0,  5.0,Dec 24
175,NORTHSIDE TRUCK & VAN LIMITED,Motherwell,  243.3,  4.7,Dec 24
176,J.W. FILSHILL LIMITED,Renfrew,  213.7,  4.9,Jan 25
177,LALLEMAND U.K. LIMITED,Edinburgh,  84.3,  9.7,Jan 25
178,EMTEC GROUP LIMITED,Hamilton,  93.5,  8.1,Dec 24
179,PEAK SCIENTIFIC INSTRUMENTS LIMITED,Renfrew,  64.2,  16.1,Mar 25
180,HILLHOUSE QUARRY GROUP LIMITED,Troon,  83.8,  9.3,Mar 25
181,WARMWORKS SCOTLAND LLP,Edinburgh,  106.1,  7.1,Mar 25
182,DIGBY BROWN LLP,Edinburgh,  52.8,  26.5,Mar 25
183,APEX HOTELS LIMITED,Edinburgh,  96.0,  7.4,Apr 25
184,KONGSBERG MARITIME LIMITED,Westhill,  68.2,  13.1,Dec 24
185,THE HARBRO GROUP LTD.,Turriff,  145.0,  5.2,Jun 24
186,UNITED WHOLESALE (SCOTLAND) LIMITED,Glasgow,  285.0,  4.0,Dec 24
187,VF NORTHERN EUROPE SERVICES LIMITED,Edinburgh,  271.2,  4.0,Mar 25
188,BELL GLOBAL PROPERTY SERVICES (UK) LTD,Airdrie,  218.7,  4.3,Mar 25
189,ROVOP HOLDINGS LIMITED,Westhill,  68.7,  5.4,Dec 24
190,MORRIS & SPOTTISWOOD LIMITED,Glasgow,  172.5,  4.7,Dec 24
191,TURNER & CO. (GLASGOW) LIMITED.,Glasgow,  104.4,  6.1,Mar 25
192,CALEDONIAN HERITABLE LIMITED,Edinburgh,  62.7,  12.8,Oct 24
193,MORTON FRASER MACROBERTS LLP,Edinburgh,  50.7,  19.4,Apr 25
194,MCALPINE & COMPANY. LIMITED,Glasgow,  82.3,  7.5,Dec 24
195,TENNENT CALEDONIAN BREWERIES WHOLESALE LIMITED,Glasgow,  114.5,  5.5,Feb 25
196,DF CONCERTS LIMITED,Glasgow,  76.6,  8.0,Dec 24
197,SCOTTISH FOOTBALL ASSOCIATION LIMITED (THE),Glasgow,  78.7,  7.4,Dec 24
198,THE NORTH BRITISH DISTILLERY COMPANY LIMITED,Edinburgh,  96.2,  6.0,Dec 24
199,LOTHIAN DISTILLERS LIMITED,Edinburgh,  96.2,  6.0,Dec 24
200,M2 GROUP LIMITED,Glasgow,  53.9,  14.4,Dec 24
201,WILLIAM WILSON LTD.,Aberdeen,  77.3,  7.3,Jul 24
202,HILLHOUSE ESTATES LIMITED,Troon,  102.4,  5.7,Mar 25
203,GOLDEN ACRE FOODS LIMITED,Glasgow,  127.7,  4.8,Dec 24
204,AMAZON DEVELOPMENT CENTRE (SCOTLAND) LIMITED,Edinburgh,  70.4,  8.3,Dec 24
205,SINGLE BUOY MOORINGS (UK) LIMITED,Edinburgh,  56.0,  12.2,Dec 23
206,LIGHTBODY OF HAMILTON LIMITED,Hamilton,  104.2,  5.4,Jun 24
207,WORLDMARK UK LIMITED,Glasgow,  64.9,  9.2,Dec 24
208,DONALDSON TIMBER ENGINEERING LIMITED,Glenrothes,  83.6,  6.4,Sep 24
209,STIMWELL SERVICES LIMITED,Aberdeen,  54.9,  12.4,Dec 24
210,MACLEAN INTERNATIONAL GROUP LIMITED,Aberdeen,  100.4,  5.3,Dec 24
211,CP (ELECTRIC) LIMITED,Kilmarnock,  63.5,  8.9,Dec 24
212,KARL STORZ ENDOSCOPY (UK) LIMITED,Dundee,  89.9,  5.8,Dec 24
213,SCOT J C B LIMITED,Glasgow,  210.4,  3.6,Dec 24
214,LUDDON CONSTRUCTION LIMITED,Glasgow,  157.0,  4.1,Aug 24
215,CHEMRING ENERGETICS UK LIMITED,Stevenston,  53.4,  11.9,Oct 24
216,IMPORTO LIMITED,Sanquhar,  81.5,  6.1,Dec 24
217,VWS WESTGARTH LIMITED,Glasgow,  62.0,  8.7,Dec 24
218,KLONDYKE FISHING COMPANY LIMITED,Fraserburgh,  41.8,  26.5,Jun 24
219,MACPHIE LIMITED,Stonehaven,  82.1,  6.0,Mar 25
220,BALHOUSIE HOLDINGS LIMITED,Perth,  57.2,  9.6,Sep 24
221,SWL LIMITED,Currie,  118.2,  4.5,Sep 24
222,THISTLE SEAFOODS LIMITED,Peterhead,  161.4,  3.7,Dec 24
223,DUNCAN FARMS LIMITED,Turriff,  39.7,  29.1,Mar 25
224,MCTAGGART CONSTRUCTION LIMITED,Dalry,  90.4,  5.2,Mar 25
225,DRIL-QUIP (EUROPE) LIMITED,Aberdeen,  75.5,  6.0,Dec 23
226,FAIRHURST GROUP LLP,Edinburgh,  50.9,  10.9,Mar 25
227,FIFE SCOTTISH OMNIBUSES LIMITED,Perth,  89.6,  5.0,Apr 24
228,3 ED HOLDINGS LIMITED,Edinburgh,  53.5,  9.1,Mar 25
229,HARPER MACLEOD LLP,Glasgow,  43.5,  16.1,Mar 25
230,SCOTTISH WOODLANDS LIMITED,Currie,  118.2,  4.1,Sep 24
231,MORRIS LESLIE HOLDINGS LIMITED,Perth,  76.3,  5.7,Apr 25
232,MACKENZIE CONSTRUCTION LIMITED,Glasgow,  61.7,  7.3,Mar 25
233,DIGITASLBI LIMITED,Edinburgh,  61.4,  7.3,Dec 24
234,LOMOND MOTORS LIMITED,Glasgow,  156.8,  3.5,Dec 24
235,PROSOURCE.IT (UK) LTD.,Aberdeen,  53.5,  8.3,Jun 25
236,PROSERV UK LIMITED,Aberdeen,  50.6,  9.1,Dec 23
237,FIRST TECH LIMITED,Aberdeen,  72.0,  5.4,Apr 25
238,THORNTONS LAW LLP,Dundee,  43.9,  12.4,May 24
239,OH POLLY LTD,Glasgow,  73.0,  5.3,Apr 24
240,MV COMMERCIAL LIMITED,Airdrie,  68.6,  5.7,Jun 25
241,GLOBAL ENERGY (GROUP) LIMITED,Tain,  61.0,  6.2,Mar 25
242,CIRCET HOME LIMITED,Selkirk,  48.7,  8.3,Dec 24
243,OCEAN INSTALLER LIMITED,Aberdeen,  36.7,  20.7,Dec 24
244,TSQUARED GROUP LIMITED,Glasgow,  40.6,  13.7,Mar 25
245,SCOTTISH EVENT CAMPUS LIMITED,Glasgow,  54.4,  6.5,Mar 25
246,MAXI CALEDONIAN LIMITED,Irvine,  105.0,  3.6,Sep 24
247,WALTER DAVIDSON & SONS LIMITED,Blairgowrie,  72.2,  4.9,Jan 25
248,ONE-O-ONE CONVENIENCE STORES LIMITED,Glasgow,  73.8,  4.7,Mar 25
249,YASKAWA ELECTRIC UK LIMITED,Edinburgh,  62.7,  5.4,Feb 24
250,SIGNATURE FLIGHT SUPPORT UK REGIONS LIMITED,Edinburgh,  40.8,  12.0,Dec 24
251,ACTIVPAYROLL LTD.,Aberdeen,  57.4,  5.8,Mar 25
252,STRACHANS LIMITED,Peterhead,  76.3,  4.3,Dec 24
253,LACTALIS MCLELLAND LIMITED,Stranraer,  277.3,  2.3,Dec 24
254,MCPHERSON GROUP HOLDINGS LIMITED,Aberdeen,  53.3,  4.0,Jul 24
255,EAST COAST VINERS (HOLDINGS) LIMITED,Stonehaven,  71.2,  4.4,Jun 24
256,LEITHS (SCOTLAND) LIMITED,Aberdeen,  76.1,  4.1,Dec 24
257,MARITIME DEVELOPMENTS LIMITED,Aberdeen,  40.2,  9.8,Mar 25
258,M & D GREEN DISPENSING CHEMIST LIMITED,Glasgow,  69.7,  4.3,Mar 25
259,GLENNON BROTHERS (UK) LIMITED,Troon,  82.4,  3.6,Dec 24
260,ANGUS SOFT FRUITS LIMITED,Arbroath,  166.3,  2.5,Apr 25
261,DEVRO (SCOTLAND) LIMITED,Glasgow,  47.3,  6.5,Dec 24
262,THOMAS JOHNSTONE LIMITED,Renfrew,  84.4,  3.6,Dec 24
263,CAMPBELL'S PRIME MEAT HOLDING COMPANY LIMITED,Edinburgh,  69.3,  4.3,Dec 23
264,PROFESSIONAL BEAUTY SYSTEMS (HOLDINGS) LIMITED,Renfrew,  50.6,  5.8,Sep 24
265,JOHN G. RUSSELL (TRANSPORT) LIMITED,Glasgow,  96.0,  3.2,Mar 25
266,MATTHEW ALGIE & COMPANY LIMITED,Glasgow,  64.7,  4.3,Dec 24
267,AG RESTAURANTS LTD,Glasgow,  130.7,  2.5,Dec 24
268,I. & H. BROWN LIMITED,Perth,  84.5,  3.4,Aug 25
269,FISHERS SERVICES LIMITED,Cupar,  52.3,  5.3,Dec 24
270,INDIGO SUN RETAIL LTD.,Stirling,  37.3,  10.0,Sep 24
271,BARRHEAD TRAVEL SERVICE LIMITED,Glasgow,  89.9,  3.1,Dec 24
272,SEATEC UK LIMITED,Glasgow,  44.1,  6.5,Dec 24
273,CAMERON GROUP (PERTH) LIMITED,Perth,  92.3,  3.0,May 25
274,W M DONALD LIMITED,Stonehaven,  75.2,  3.5,Mar 25
275,D. MCGHEE & SONS LIMITED,Glasgow,  53.7,  5.0,Aug 24
276,ANDERSON STRATHERN LLP,Edinburgh,  21.2,  5.6,Mar 25
277,CARRIER RENTAL SYSTEMS (UK) LIMITED,Livingston,  51.8,  5.0,Dec 23
278,CRUDEN HOMES HOLDINGS LIMITED,Edinburgh,  60.5,  4.3,Mar 25
279,BANCON DEVELOPMENTS HOLDINGS LIMITED,Banchory,  110.7,  2.6,Mar 25
280,TULLOCH HOMES LTD.,Elgin,  48.7,  5.2,May 25
281,THE BENRIACH DISTILLERY COMPANY LIMITED,Edinburgh,  35.5,  9.8,Apr 25
282,HIGHLAND PRODUCTS LIMITED,Edinburgh,  60.3,  4.2,Dec 24
283,ODFJELL TECHNOLOGY (UK) LTD.,Aberdeen,  76.7,  3.3,Dec 24
284,TULLIBARDINE LIMITED,Edinburgh,  38.0,  8.0,Dec 24
285,UNION TECHNICAL SERVICES LTD,Glasgow,  38.9,  7.3,Dec 24
286,TOPEK SOUTHERN LIMITED,Glasgow,  37.0,  8.3,Mar 25
287,CLEAR BUSINESS WATER LIMITED,Glasgow,  81.8,  3.0,Apr 24
288,STATS (UK) LTD.,Aberdeen,  74.7,  3.2,Dec 23
289,KEPAK GROUP LIMITED,Aberdeen,  648.4,  1.5,Dec 24
290,INVER HOUSE DISTILLERS LIMITED,Airdrie,  88.4,  2.8,Sep 24
291,ABBOTT RISK CONSULTING LIMITED,Edinburgh,  47.7,  4.8,Dec 24
292,ENTIER LIMITED,Westhill,  82.6,  2.8,Sep 24
293,VEGWARE LIMITED,Edinburgh,  48.5,  4.7,Dec 24
294,STEDER GROUP (UK) LIMITED,Glasgow,  42.1,  5.7,Dec 24
295,GLASGOW WHISKY LIMITED,Glasgow,  34.7,  8.4,Dec 24
296,ABERDEEN & NORTHERN EGGS LIMITED,Fraserburgh,  44.7,  5.0,May 24
297,SALTIRE ENERGY LIMITED,Aberdeen,  29.8,  12.4,Jun 24
298,SPECIALIST WASTE RECYCLING LIMITED,Glasgow,  42.3,  5.3,Mar 25
299,CLARK CONTRACTS LIMITED,Paisley,  106.5,  2.3,Oct 24
300,CHISHOLM HUNTER HOLDINGS LIMITED,Glasgow,  61.6,  3.4,Mar 25
301,J & D PIERCE (CONTRACTS) LTD.,Beith,  98.4,  2.3,Dec 24
302,KDM ENTERPRISES LIMITED,Dunfermline,  51.4,  3.9,Dec 24
303,INTERFLEX SCOTLAND LIMITED,Dalkeith,  57.9,  3.4,Mar 25
304,NAIRN'S OATCAKES LTD.,Edinburgh,  47.5,  4.2,May 24
305,CRUDEN INVESTMENTS LIMITED,Edinburgh,  90.2,  2.3,Mar 25
306,D. GEDDES (FARMS) LIMITED,Arbroath,  34.7,  6.8,Dec 24
307,TUV SUD LIMITED,Glasgow,  74.2,  2.6,Dec 24
308,RECORD U.K. LIMITED,Glasgow,  50.5,  3.6,Dec 24
309,CSM SUSTAINABLE ENERGY (HOLDINGS) LTD,Aberdeen,  25.8,  17.6,Nov 24
310,DRON & DICKSON GROUP LIMITED,Stirling,  62.7,  2.9,May 25
311,DAVIDSON BROTHERS (SHOTTS) LIMITED,Shotts,  56.7,  3.1,Jul 25
312,SANTANDER ASSET MANAGEMENT UK LIMITED,Glasgow,  30.0,  8.4,Dec 24
313,WINDYMAINS TIMBER LIMITED,Humbie,  39.7,  4.9,Dec 24
314,DIONA CONSTRUCTION LTD.,Glasgow,  28.1,  10.7,Mar 24
315,SIMON HOWIE BUTCHERS LIMITED,Perth,  37.4,  6.9,Jan 25
316,GLEANER LIMITED,Elgin,  131.5,  1.8,Jun 24
